sdk_va	sdk_names	verdict	repaired_va	method	confidence	changes_classification	classification_delta	evidence
00410330	App::Property::GetInt32	repaired-contained	0040fe00	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetInt32; containing=0040fe00(off+1328,tail-58,0040fe00..0041036a,FUN_0040fe00); xrefs_to=0; bytes=08ffffff6a006a00689eeb2d058b8d08; prologue=False padding=False; neighbors=0040fe00|00410370
0041dc60	Math::MultiplyVectorScalar	repaired-contained	0041dc10	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=Math::MultiplyVectorScalar; containing=0041dc10(off+80,tail-61,0041dc10..0041dc9d,FUN_0041dc10); xrefs_to=0; bytes=45ecf30f1145f8f30f1045f0f30f1145; prologue=False padding=False; neighbors=0041dc10|0041dca0
0041e8e0	App::Property::GetValueBool	repaired-contained	0041e8b0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueBool; containing=0041e8b0(off+48,tail-61,0041e8b0..0041e91d,FUN_0041e8b0); xrefs_to=0; bytes=55f88955fc837dfc0074118b4508508b; prologue=False padding=False; neighbors=0041e8b0|0041e920
0041e950	App::Property::GetValueInt32	repaired-contained	0041e920	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueInt32; containing=0041e920(off+48,tail-48,0041e920..0041e980,FUN_0041e920); xrefs_to=0; bytes=8b08894dfceb1ceb138b55f80fb74212; prologue=False padding=False; neighbors=0041e920|0041e990
0041e9c0	App::Property::GetValueUInt32	repaired-contained	0041e990	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueUInt32; containing=0041e990(off+48,tail-48,0041e990..0041e9f0,FUN_0041e990); xrefs_to=0; bytes=8b08894dfceb1ceb138b55f80fb74212; prologue=False padding=False; neighbors=0041e990|0041ea00
0041ea30	App::Property::GetValueFloat	repaired-contained	0041ea00	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::GetValueFloat; containing=0041ea00(off+48,tail-48,0041ea00..0041ea60,FUN_0041ea00); xrefs_to=0; bytes=8b08894dfceb1ceb138b55f80fb74212; prologue=False padding=False; neighbors=0041ea00|0041ea70
00427a10	App::Property::SetValueString16	repaired-contained	004279d0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueString16; containing=004279d0(off+64,tail-60,004279d0..00427a4c,FUN_004279d0); xrefs_to=0; bytes=0000008b45fc668950128b4dfc0fb751; prologue=False padding=False; neighbors=004279d0|00427a50
00428010	App::Property::SetValueUInt32	repaired-contained	00427fd0	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueUInt32; containing=00427fd0(off+64,tail-67,00427fd0..00428053,FUN_00427fd0); xrefs_to=0; bytes=fc8b55088b028901b90a0000008b55fc; prologue=False padding=False; neighbors=00427fd0|00428060
004280a0	App::Property::SetValueFloat	repaired-contained	00428060	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=App::Property::SetValueFloat; containing=00428060(off+64,tail-67,00428060..004280e3,FUN_00428060); xrefs_to=0; bytes=fc8b5508d902d919b80d0000008b4dfc; prologue=False padding=False; neighbors=00428060|004280f0
00436390	Audio::PlayAudio	repaired-contained	00436380	containing-function-fallback	medium	True	UNKNOWN|P3|UNKNOWN->ENGINE_INTERFACE|P1|CONFIRMED	sdk=Audio::PlayAudio; containing=00436380(off+16,tail-55,00436380..004363c7,FUN_00436380); xrefs_to=0; bytes=4dfc837dfc00741f8b55888b42108945; prologue=False padding=False; neighbors=00436380|004363d0
