token	address	name
EXT:ADVAPI32.DLL::DeregisterEventSource	EXTERNAL:0000011a	DeregisterEventSource
EXT:ADVAPI32.DLL::GetUserNameA	EXTERNAL:0000011d	GetUserNameA
EXT:ADVAPI32.DLL::GetUserNameW	EXTERNAL:00000112	GetUserNameW
EXT:ADVAPI32.DLL::RegCloseKey	EXTERNAL:0000011c	RegCloseKey
EXT:ADVAPI32.DLL::RegEnumKeyExW	EXTERNAL:00000116	RegEnumKeyExW
EXT:ADVAPI32.DLL::RegOpenKeyExA	EXTERNAL:00000114	RegOpenKeyExA
EXT:ADVAPI32.DLL::RegOpenKeyExW	EXTERNAL:0000011b	RegOpenKeyExW
EXT:ADVAPI32.DLL::RegQueryValueExA	EXTERNAL:00000113	RegQueryValueExA
EXT:ADVAPI32.DLL::RegQueryValueExW	EXTERNAL:00000117	RegQueryValueExW
EXT:ADVAPI32.DLL::RegSetValueExA	EXTERNAL:00000115	RegSetValueExA
EXT:ADVAPI32.DLL::RegisterEventSourceA	EXTERNAL:00000118	RegisterEventSourceA
EXT:ADVAPI32.DLL::ReportEventA	EXTERNAL:00000119	ReportEventA
EXT:DBGHELP.DLL::SymCleanup	EXTERNAL:000001e7	SymCleanup
EXT:DBGHELP.DLL::UnDecorateSymbolName	EXTERNAL:000001e3	UnDecorateSymbolName
EXT:GDI32.DLL::CreateDCA	EXTERNAL:00000111	CreateDCA
EXT:GDI32.DLL::DeleteDC	EXTERNAL:0000010f	DeleteDC
EXT:GDI32.DLL::DeleteObject	EXTERNAL:0000010d	DeleteObject
EXT:GDI32.DLL::ExtEscape	EXTERNAL:0000010e	ExtEscape
EXT:GDI32.DLL::GetDeviceCaps	EXTERNAL:00000110	GetDeviceCaps
EXT:KERNEL32.DLL::CancelIo	EXTERNAL:00000078	CancelIo
EXT:KERNEL32.DLL::CloseHandle	EXTERNAL:0000002a	CloseHandle
EXT:KERNEL32.DLL::CompareStringW	EXTERNAL:00000035	CompareStringW
EXT:KERNEL32.DLL::CopyFileW	EXTERNAL:0000008c	CopyFileW
EXT:KERNEL32.DLL::CreateDirectoryW	EXTERNAL:00000090	CreateDirectoryW
EXT:KERNEL32.DLL::CreateEventA	EXTERNAL:00000049	CreateEventA
EXT:KERNEL32.DLL::CreateFileA	EXTERNAL:0000002c	CreateFileA
EXT:KERNEL32.DLL::CreateFileW	EXTERNAL:0000007f	CreateFileW
EXT:KERNEL32.DLL::CreateMutexA	EXTERNAL:00000059	CreateMutexA
EXT:KERNEL32.DLL::CreateSemaphoreA	EXTERNAL:0000005f	CreateSemaphoreA
EXT:KERNEL32.DLL::CreateThread	EXTERNAL:00000065	CreateThread
EXT:KERNEL32.DLL::DeleteCriticalSection	EXTERNAL:000000ae	DeleteCriticalSection
EXT:KERNEL32.DLL::DeleteFileW	EXTERNAL:0000008a	DeleteFileW
EXT:KERNEL32.DLL::DeviceIoControl	EXTERNAL:0000002b	DeviceIoControl
EXT:KERNEL32.DLL::DuplicateHandle	EXTERNAL:00000056	DuplicateHandle
EXT:KERNEL32.DLL::EnterCriticalSection	EXTERNAL:000000af	EnterCriticalSection
EXT:KERNEL32.DLL::FindClose	EXTERNAL:00000076	FindClose
EXT:KERNEL32.DLL::FindFirstFileW	EXTERNAL:00000074	FindFirstFileW
EXT:KERNEL32.DLL::FindNextFileW	EXTERNAL:00000075	FindNextFileW
EXT:KERNEL32.DLL::FlushFileBuffers	EXTERNAL:0000004b	FlushFileBuffers
EXT:KERNEL32.DLL::FormatMessageA	EXTERNAL:0000004a	FormatMessageA
EXT:KERNEL32.DLL::FreeLibrary	EXTERNAL:00000032	FreeLibrary
EXT:KERNEL32.DLL::GetACP	EXTERNAL:00000096	GetACP
EXT:KERNEL32.DLL::GetCommandLineA	EXTERNAL:00000099	GetCommandLineA
EXT:KERNEL32.DLL::GetComputerNameA	EXTERNAL:0000004e	GetComputerNameA
EXT:KERNEL32.DLL::GetComputerNameExA	EXTERNAL:00000034	GetComputerNameExA
EXT:KERNEL32.DLL::GetCurrentDirectoryA	EXTERNAL:0000009e	GetCurrentDirectoryA
EXT:KERNEL32.DLL::GetCurrentProcess	EXTERNAL:000000b2	GetCurrentProcess
EXT:KERNEL32.DLL::GetCurrentProcessId	EXTERNAL:0000003e	GetCurrentProcessId
EXT:KERNEL32.DLL::GetCurrentThread	EXTERNAL:00000025	GetCurrentThread
EXT:KERNEL32.DLL::GetCurrentThreadId	EXTERNAL:00000048	GetCurrentThreadId
EXT:KERNEL32.DLL::GetDiskFreeSpaceExA	EXTERNAL:000000a9	GetDiskFreeSpaceExA
EXT:KERNEL32.DLL::GetDriveTypeA	EXTERNAL:000000ab	GetDriveTypeA
EXT:KERNEL32.DLL::GetEnvironmentVariableA	EXTERNAL:00000094	GetEnvironmentVariableA
EXT:KERNEL32.DLL::GetExitCodeThread	EXTERNAL:00000053	GetExitCodeThread
EXT:KERNEL32.DLL::GetFileAttributesW	EXTERNAL:00000089	GetFileAttributesW
EXT:KERNEL32.DLL::GetFileSize	EXTERNAL:00000084	GetFileSize
EXT:KERNEL32.DLL::GetFileType	EXTERNAL:000000a6	GetFileType
EXT:KERNEL32.DLL::GetFullPathNameA	EXTERNAL:00000097	GetFullPathNameA
EXT:KERNEL32.DLL::GetFullPathNameW	EXTERNAL:00000091	GetFullPathNameW
EXT:KERNEL32.DLL::GetLastError	EXTERNAL:00000083	GetLastError
EXT:KERNEL32.DLL::GetLocaleInfoW	EXTERNAL:00000040	GetLocaleInfoW
EXT:KERNEL32.DLL::GetLogicalDrives	EXTERNAL:000000ac	GetLogicalDrives
EXT:KERNEL32.DLL::GetLongPathNameW	EXTERNAL:00000079	GetLongPathNameW
EXT:KERNEL32.DLL::GetModuleFileNameA	EXTERNAL:0000002f	GetModuleFileNameA
EXT:KERNEL32.DLL::GetModuleFileNameW	EXTERNAL:00000051	GetModuleFileNameW
EXT:KERNEL32.DLL::GetModuleHandleA	EXTERNAL:00000029	GetModuleHandleA
EXT:KERNEL32.DLL::GetModuleHandleW	EXTERNAL:00000073	GetModuleHandleW
EXT:KERNEL32.DLL::GetPriorityClass	EXTERNAL:00000023	GetPriorityClass
EXT:KERNEL32.DLL::GetProcAddress	EXTERNAL:00000028	GetProcAddress
EXT:KERNEL32.DLL::GetProcessAffinityMask	EXTERNAL:00000027	GetProcessAffinityMask
EXT:KERNEL32.DLL::GetProcessHeap	EXTERNAL:00000067	GetProcessHeap
EXT:KERNEL32.DLL::GetProcessTimes	EXTERNAL:00000098	GetProcessTimes
EXT:KERNEL32.DLL::GetStartupInfoA	EXTERNAL:000000a0	GetStartupInfoA
EXT:KERNEL32.DLL::GetStdHandle	EXTERNAL:000000a5	GetStdHandle
EXT:KERNEL32.DLL::GetSystemDefaultLCID	EXTERNAL:00000043	GetSystemDefaultLCID
EXT:KERNEL32.DLL::GetSystemDirectoryW	EXTERNAL:00000039	GetSystemDirectoryW
EXT:KERNEL32.DLL::GetSystemInfo	EXTERNAL:00000030	GetSystemInfo
EXT:KERNEL32.DLL::GetSystemTime	EXTERNAL:00000050	GetSystemTime
EXT:KERNEL32.DLL::GetSystemTimeAsFileTime	EXTERNAL:0000006c	GetSystemTimeAsFileTime
EXT:KERNEL32.DLL::GetTempPathW	EXTERNAL:0000008e	GetTempPathW
EXT:KERNEL32.DLL::GetThreadPriority	EXTERNAL:00000024	GetThreadPriority
EXT:KERNEL32.DLL::GetTickCount	EXTERNAL:00000045	GetTickCount
EXT:KERNEL32.DLL::GetVersion	EXTERNAL:00000072	GetVersion
EXT:KERNEL32.DLL::GetVersionExA	EXTERNAL:00000031	GetVersionExA
EXT:KERNEL32.DLL::GetVersionExW	EXTERNAL:0000003a	GetVersionExW
EXT:KERNEL32.DLL::GetVolumeInformationA	EXTERNAL:000000aa	GetVolumeInformationA
EXT:KERNEL32.DLL::GetVolumeInformationW	EXTERNAL:00000080	GetVolumeInformationW
EXT:KERNEL32.DLL::GetVolumePathNameW	EXTERNAL:0000008f	GetVolumePathNameW
EXT:KERNEL32.DLL::GetWindowsDirectoryW	EXTERNAL:00000044	GetWindowsDirectoryW
EXT:KERNEL32.DLL::GlobalAlloc	EXTERNAL:00000070	GlobalAlloc
EXT:KERNEL32.DLL::GlobalFree	EXTERNAL:0000006d	GlobalFree
EXT:KERNEL32.DLL::GlobalLock	EXTERNAL:0000006f	GlobalLock
EXT:KERNEL32.DLL::GlobalMemoryStatus	EXTERNAL:000000a4	GlobalMemoryStatus
EXT:KERNEL32.DLL::GlobalMemoryStatusEx	EXTERNAL:0000001f	GlobalMemoryStatusEx
EXT:KERNEL32.DLL::GlobalSize	EXTERNAL:00000071	GlobalSize
EXT:KERNEL32.DLL::GlobalUnlock	EXTERNAL:0000006e	GlobalUnlock
EXT:KERNEL32.DLL::HeapAlloc	EXTERNAL:00000066	HeapAlloc
EXT:KERNEL32.DLL::HeapFree	EXTERNAL:00000068	HeapFree
EXT:KERNEL32.DLL::InitializeCriticalSection	EXTERNAL:000000ad	InitializeCriticalSection
EXT:KERNEL32.DLL::InitializeCriticalSectionAndSpinCount	EXTERNAL:00000069	InitializeCriticalSectionAndSpinCount
EXT:KERNEL32.DLL::InterlockedCompareExchange	EXTERNAL:0000005e	InterlockedCompareExchange
EXT:KERNEL32.DLL::InterlockedDecrement	EXTERNAL:00000038	InterlockedDecrement
EXT:KERNEL32.DLL::InterlockedExchange	EXTERNAL:00000061	InterlockedExchange
EXT:KERNEL32.DLL::InterlockedExchangeAdd	EXTERNAL:0000005d	InterlockedExchangeAdd
EXT:KERNEL32.DLL::IsDebuggerPresent	EXTERNAL:0000003b	IsDebuggerPresent
EXT:KERNEL32.DLL::LCMapStringW	EXTERNAL:00000036	LCMapStringW
EXT:KERNEL32.DLL::LeaveCriticalSection	EXTERNAL:000000b0	LeaveCriticalSection
EXT:KERNEL32.DLL::LoadLibraryA	EXTERNAL:00000033	LoadLibraryA
EXT:KERNEL32.DLL::LoadLibraryW	EXTERNAL:00000095	LoadLibraryW
EXT:KERNEL32.DLL::LocalAlloc	EXTERNAL:0000002e	LocalAlloc
EXT:KERNEL32.DLL::LocalFree	EXTERNAL:0000002d	LocalFree
EXT:KERNEL32.DLL::MoveFileExW	EXTERNAL:0000008b	MoveFileExW
EXT:KERNEL32.DLL::MultiByteToWideChar	EXTERNAL:00000081	MultiByteToWideChar
EXT:KERNEL32.DLL::OpenProcess	EXTERNAL:0000003d	OpenProcess
EXT:KERNEL32.DLL::OutputDebugStringA	EXTERNAL:00000052	OutputDebugStringA
EXT:KERNEL32.DLL::QueryPerformanceCounter	EXTERNAL:000000a7	QueryPerformanceCounter
EXT:KERNEL32.DLL::QueryPerformanceFrequency	EXTERNAL:00000020	QueryPerformanceFrequency
EXT:KERNEL32.DLL::QueueUserAPC	EXTERNAL:00000064	QueueUserAPC
EXT:KERNEL32.DLL::RaiseException	EXTERNAL:00000063	RaiseException
EXT:KERNEL32.DLL::ReadFile	EXTERNAL:00000087	ReadFile
EXT:KERNEL32.DLL::ReleaseMutex	EXTERNAL:0000005c	ReleaseMutex
EXT:KERNEL32.DLL::ReleaseSemaphore	EXTERNAL:00000060	ReleaseSemaphore
EXT:KERNEL32.DLL::RemoveDirectoryW	EXTERNAL:00000092	RemoveDirectoryW
EXT:KERNEL32.DLL::ResumeThread	EXTERNAL:00000047	ResumeThread
EXT:KERNEL32.DLL::SetEndOfFile	EXTERNAL:00000085	SetEndOfFile
EXT:KERNEL32.DLL::SetEnvironmentVariableA	EXTERNAL:00000093	SetEnvironmentVariableA
EXT:KERNEL32.DLL::SetEvent	EXTERNAL:00000077	SetEvent
EXT:KERNEL32.DLL::SetFileAttributesW	EXTERNAL:0000008d	SetFileAttributesW
EXT:KERNEL32.DLL::SetFilePointer	EXTERNAL:00000086	SetFilePointer
EXT:KERNEL32.DLL::SetLastError	EXTERNAL:00000041	SetLastError
EXT:KERNEL32.DLL::SetPriorityClass	EXTERNAL:00000022	SetPriorityClass
EXT:KERNEL32.DLL::SetProcessAffinityMask	EXTERNAL:0000003c	SetProcessAffinityMask
EXT:KERNEL32.DLL::SetThreadAffinityMask	EXTERNAL:00000026	SetThreadAffinityMask
EXT:KERNEL32.DLL::SetThreadIdealProcessor	EXTERNAL:00000057	SetThreadIdealProcessor
EXT:KERNEL32.DLL::SetThreadPriority	EXTERNAL:00000021	SetThreadPriority
EXT:KERNEL32.DLL::SetUnhandledExceptionFilter	EXTERNAL:0000004d	SetUnhandledExceptionFilter
EXT:KERNEL32.DLL::Sleep	EXTERNAL:0000009a	Sleep
EXT:KERNEL32.DLL::SleepEx	EXTERNAL:00000058	SleepEx
EXT:KERNEL32.DLL::SystemTimeToFileTime	EXTERNAL:0000004f	SystemTimeToFileTime
EXT:KERNEL32.DLL::TerminateProcess	EXTERNAL:0000004c	TerminateProcess
EXT:KERNEL32.DLL::TlsAlloc	EXTERNAL:00000054	TlsAlloc
EXT:KERNEL32.DLL::TlsFree	EXTERNAL:00000062	TlsFree
EXT:KERNEL32.DLL::TlsGetValue	EXTERNAL:000000a8	TlsGetValue
EXT:KERNEL32.DLL::TlsSetValue	EXTERNAL:00000055	TlsSetValue
EXT:KERNEL32.DLL::TryEnterCriticalSection	EXTERNAL:0000005b	TryEnterCriticalSection
EXT:KERNEL32.DLL::UnhandledExceptionFilter	EXTERNAL:0000009f	UnhandledExceptionFilter
EXT:KERNEL32.DLL::VirtualAlloc	EXTERNAL:0000006b	VirtualAlloc
